Number,Name,Team,Position,PPG,RPG,APG,SPG,BPG,TOPG,FPG,FDPG,+/-,EFFPG,FG%,3PT%,FT%,MPG_x,NAME,GP,MIN,MPG_y,STARTS,3PT FGs M/A, 3PT FGs %,2PT FGs M/A,2PT FGs %,FGs %,DEFENDED M/A,DEFENDED %,OPEN M/A,OPEN %,FTs M/A,FTs %,HI,LO,DEF REBOUNDS,OFF REBOUNDS,AST,STL,BLK,OFF TOs,DEF TOs,TECH,UF,TOTAL
12,"Gravera, Rodel",FEU,F,1.2,1.4,0.0,0.2,0.0,0.6,0.0,0.0,-3.6,0.8,22.20%,25.00%,0.00%,5.18,Rodel Gravera,5,1592,5:18:24,0,2/8,25.0,0/1,0.0,22.22,2/9,22.22,0/0,0.0,0/0,0.0,3,0,5,2,0,1,0,0,0,0,0,0
25,"Celzo, Daniel",FEU,F,1.1,1.5,0.3,0.1,0.3,0.2,1.2,0.6,-1.1,2.6,40.00%,0.00%,44.40%,4.44,Daniel Celzo,11,3132,4:44:44,2,0/0,0.0,4/10,40.0,40.0,4/10,40.0,0/0,0.0,4/9,44.44,5,0,7,9,3,1,3,0,13,0,0,13
23,"Guibao, Kevin",FEU,F,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,-0.8,0.0,0.00%,0.00%,0.00%,1.28,Kevin Guibao,6,533,1:28:50,0,0/2,0.0,0/0,0.0,0.0,0/2,0.0,0/0,0.0,0/0,0.0,0,0,0,0,0,1,0,0,0,0,0,0
20,"Figueroa, John",NU,F,9.3,7.4,1.9,1.3,0.6,2.3,2.3,3.7,1.5,16.9,43.40%,13.00%,80.90%,24.46,John Figueroa,14,20815,24:46:47,14,2/18,11.11,42/82,51.22,44.0,39/93,41.94,5/7,71.43,33/41,80.49,19,2,77,20,28,20,9,3,28,1,0,32
2,"Baclaan, Kean",NU,G,8.4,3.4,4.2,1.6,0.0,3.4,2.1,1.9,-0.8,8.7,30.30%,25.00%,84.60%,22.15,Kean Baclaan,13,17365,22:15:46,13,17/64,26.56,22/65,33.85,30.23,32/119,26.89,7/10,70.0,8/10,80.0,16,2,30,14,54,21,0,3,21,3,1,28
18,"John, Omar",NU,,7.8,7.2,1.3,0.7,1.6,3.0,2.9,2.1,2.1,12.8,48.20%,0.00%,35.00%,26.15,Omar John,14,22054,26:15:17,14,0/1,0.0,51/103,49.51,49.04,43/96,44.79,8/8,100.0,7/20,35.0,16,2,58,43,19,10,22,9,29,2,0,40
23,"Malonzo, Michael",NU,,7.0,6.2,1.5,1.1,0.7,1.2,2.4,1.9,-1.3,14.5,56.00%,11.10%,74.10%,24.57,Michael Malonzo,14,20965,24:57:30,8,1/9,11.11,36/59,61.02,54.41,32/61,52.46,5/7,71.43,19/25,76.0,13,0,51,35,21,15,10,1,34,0,1,36
13,"Enriquez, Steve",NU,G,6.9,1.8,2.7,1.3,0.0,1.5,0.9,2.7,4.0,7.4,29.90%,25.60%,55.60%,18.1,Steve Enriquez,11,11999,18:10:49,1,11/39,28.21,14/43,32.56,30.49,25/82,30.49,0/0,0.0,20/36,55.56,18,0,12,7,28,13,0,0,10,0,0,10
0,"Manansala, Jolo",NU,F,5.4,5.1,0.6,0.5,0.3,0.8,0.9,1.5,-0.7,10.3,55.00%,30.00%,60.00%,15.08,Jolo Manansala,14,12724,15:08:51,0,3/9,33.33,30/49,61.22,56.9,28/53,52.83,5/5,100.0,12/20,60.0,17,1,39,33,9,9,5,1,14,0,0,15
12,"Yu, Patrick",NU,G,4.6,2.9,1.8,0.6,0.2,1.6,1.4,1.1,1.4,5.4,30.50%,23.30%,66.70%,16.22,Patrick Yu,14,13759,16:22:47,0,7/28,25.0,17/48,35.42,31.58,19/68,27.94,5/8,62.5,12/18,66.67,15,0,31,9,26,8,2,0,16,0,1,17
