Number,Name,Team,Position,PPG,RPG,APG,SPG,BPG,TOPG,FPG,FDPG,+/-,EFFPG,FG%,3PT%,FT%,MPG_x,NAME,GP,MIN,MPG_y,STARTS,3PT FGs M/A, 3PT FGs %,2PT FGs M/A,2PT FGs %,FGs %,DEFENDED M/A,DEFENDED %,OPEN M/A,OPEN %,FTs M/A,FTs %,HI,LO,DEF REBOUNDS,OFF REBOUNDS,AST,STL,BLK,OFF TOs,DEF TOs,TECH,UF,TOTAL
10,"Ildefonso, Dave",ADMU,G,12.0,8.3,2.7,1.0,0.1,2.8,1.7,2.3,7.7,13.5,30.90%,25.90%,62.00%,27.44,Dave Ildefonso,14,23301,27:44:21,14,26/104,25.0,31/79,39.24,31.15,46/169,27.22,11/14,78.57,29/45,64.44,22,3,85,31,37,16,1,1,23,0,0,24
34,"Kouame, Ange",ADMU,C,11.6,11.3,1.7,0.5,2.5,1.4,2.4,3.9,8.7,24.7,54.80%,43.80%,52.70%,27.3,Ange Kouame,14,23101,27:30:04,14,7/14,50.0,58/104,55.77,55.08,51/102,50.0,14/16,87.5,28/52,53.85,22,2,84,76,25,7,36,1,34,0,1,36
2,"Andrade, Bryan",ADMU,G,9.5,2.7,2.1,0.9,0.2,1.5,1.5,1.8,9.9,10.3,36.20%,34.70%,92.60%,25.5,Bryan Andrade,14,21711,25:50:47,14,25/74,33.78,20/50,40.0,36.29,33/108,30.56,12/16,75.0,23/25,92.0,21,3,26,13,30,13,3,1,21,0,0,22
6,"Koon, Chris",ADMU,G,6.3,3.4,1.9,0.7,0.1,1.3,1.2,1.5,2.7,9.2,40.80%,30.60%,70.80%,16.21,Chris Koon,14,13744,16:21:43,0,11/44,25.0,15/25,60.0,37.68,22/64,34.38,4/5,80.0,16/23,69.57,11,1,39,10,23,11,2,1,13,0,1,15
13,"Gomez, Vince",ADMU,G,3.4,0.7,2.0,0.5,0.0,1.3,1.2,1.0,-1.1,3.4,30.60%,29.70%,50.00%,14.15,Vince Gomez,12,10271,14:15:55,0,10/35,28.57,4/12,33.33,29.79,13/38,34.21,1/9,11.11,3/6,50.0,8,0,5,1,25,6,0,0,14,0,0,14
16,"Lazaro, Joshua",ADMU,F,2.8,4.9,0.4,0.5,0.2,0.8,2.1,1.8,3.0,6.4,25.00%,0.00%,56.30%,15.08,Joshua Lazaro,14,12713,15:08:04,0,0/3,0.0,12/43,27.91,26.09,10/42,23.81,2/4,50.0,18/32,56.25,6,0,44,29,6,7,4,4,25,0,0,29
18,"Chiu, Geo",ADMU,C,2.1,3.3,0.5,0.5,0.8,0.7,1.9,1.7,1.5,6.9,38.50%,0.00%,73.30%,10.14,Geo Chiu,14,8597,10:14:04,1,0/1,0.0,10/24,41.67,40.0,10/25,40.0,0/0,0.0,11/15,73.33,7,0,30,20,8,6,12,4,24,0,0,28
70,"Fornilos, Inand",ADMU,F,1.7,1.0,0.2,0.2,0.0,0.3,0.5,0.3,-0.7,2.2,66.70%,33.30%,25.00%,3.09,Inand Fornilos,5,948,3:09:36,0,1/3,33.33,3/3,100.0,66.67,4/5,80.0,0/1,0.0,1/4,25.0,4,0,3,2,1,1,0,0,2,1,0,3
21,"Daves, Matt",ADMU,F,1.6,1.3,0.3,0.1,0.1,0.7,1.3,0.3,0.5,1.8,45.00%,0.00%,33.30%,7.04,Matt Daves,11,4672,7:04:44,0,0/0,0.0,8/18,44.44,44.44,6/16,37.5,2/2,100.0,1/3,33.33,6,0,9,3,2,1,1,2,12,0,0,14
17,"Fetalvero, Jc",ADMU,G,0.6,0.0,0.2,0.0,0.0,0.0,0.4,0.0,-1.8,0.0,20.00%,20.00%,0.00%,3.25,Jc Fetalvero,4,820,3:25:00,0,1/5,20.0,0/0,0.0,20.0,1/5,20.0,0/0,0.0,0/0,0.0,3,0,0,0,1,0,0,0,2,0,0,2
22,"Ong, Kyle",ADMU,C,0.3,0.0,0.0,0.3,0.2,0.2,0.3,0.0,-0.5,0.5,50.00%,0.00%,0.00%,1.51,Kyle Ong,5,557,1:51:24,0,0/0,0.0,1/2,50.0,50.0,1/2,50.0,0/0,0.0,0/0,0.0,2,0,0,0,0,2,1,1,1,0,0,2
11,"Lao, Franz",ADMU,G,0.2,0.2,0.2,0.2,0.0,0.2,0.7,0.2,-1.2,0.3,0.00%,0.00%,50.00%,2.0,Franz Lao,5,602,2:00:24,0,0/0,0.0,0/1,0.0,0.0,0/1,0.0,0/0,0.0,0/0,0.0,0,0,1,0,1,1,0,0,3,0,0,3
23,"Faye, Adama",UST,C,11.4,12.2,1.0,0.4,2.2,3.8,3.1,5.2,-11.0,19.5,45.10%,0.00%,38.40%,30.57,Adama Faye,13,24142,30:57:05,13,0/7,0.0,60/125,48.0,45.11,53/122,43.44,7/11,63.64,28/73,38.36,23,3,133,26,13,5,28,5,33,1,1,40
23,"Faye, Adama",UST,C,11.4,12.2,1.0,0.4,2.2,3.8,3.1,5.2,-11.0,19.5,45.10%,0.00%,38.40%,30.57,Adama Faye,13,24142,30:57:05,13,0/7,0.0,60/125,48.0,45.11,53/122,43.44,7/11,63.64,28/73,38.36,23,3,133,26,13,5,28,5,33,1,1,40
17,"Pangilinan, Miguel",UST,G,6.6,4.6,1.4,0.9,0.1,1.6,2.2,1.4,-8.0,7.6,28.80%,27.90%,68.20%,25.46,Miguel Pangilinan,14,21657,25:46:56,10,17/61,27.87,13/43,30.23,28.85,25/95,26.32,5/9,55.56,15/22,68.18,11,0,39,26,20,12,1,0,31,0,0,31
17,"Pangilinan, Miguel",UST,G,6.6,4.6,1.4,0.9,0.1,1.6,2.2,1.4,-8.0,7.6,28.80%,27.90%,68.20%,25.46,Miguel Pangilinan,14,21657,25:46:56,10,17/61,27.87,13/43,30.23,28.85,25/95,26.32,5/9,55.56,15/22,68.18,11,0,39,26,20,12,1,0,31,0,0,31
0,"Lazarte, Ivan",UST,G,5.5,2.8,0.8,0.8,0.0,0.5,1.3,1.8,-5.8,6.0,28.40%,19.40%,60.70%,15.18,Ivan Lazarte,11,10107,15:18:49,8,6/31,19.35,13/36,36.11,28.36,17/64,26.56,2/3,66.67,17/28,60.71,13,0,18,13,9,9,0,0,14,0,0,14
0,"Lazarte, Ivan",UST,G,5.5,2.8,0.8,0.8,0.0,0.5,1.3,1.8,-5.8,6.0,28.40%,19.40%,60.70%,15.18,Ivan Lazarte,11,10107,15:18:49,8,6/31,19.35,13/36,36.11,28.36,17/64,26.56,2/3,66.67,17/28,60.71,13,0,18,13,9,9,0,0,14,0,0,14
16,"Manalang, Paul",UST,G,4.5,2.7,2.8,0.6,0.0,2.0,2.5,2.5,-7.2,5.5,19.30%,17.70%,77.80%,25.08,Paul Manalang,13,19609,25:08:23,6,11/62,17.74,6/26,23.08,19.32,17/87,19.54,0/1,0.0,14/18,77.78,10,0,30,5,37,8,0,1,28,2,2,33
16,"Manalang, Paul",UST,G,4.5,2.7,2.8,0.6,0.0,2.0,2.5,2.5,-7.2,5.5,19.30%,17.70%,77.80%,25.08,Paul Manalang,13,19609,25:08:23,6,11/62,17.74,6/26,23.08,19.32,17/87,19.54,0/1,0.0,14/18,77.78,10,0,30,5,37,8,0,1,28,2,2,33
4,"Manaytay, Christian",UST,F,3.9,4.9,1.4,0.9,0.3,1.9,2.6,1.9,-6.1,7.8,37.30%,0.00%,45.80%,19.08,Christian Manaytay,14,16082,19:08:43,10,0/8,0.0,22/51,43.14,37.29,21/57,36.84,1/2,50.0,11/24,45.83,10,0,41,28,20,12,4,1,35,0,0,36
4,"Manaytay, Christian",UST,F,3.9,4.9,1.4,0.9,0.3,1.9,2.6,1.9,-6.1,7.8,37.30%,0.00%,45.80%,19.08,Christian Manaytay,14,16082,19:08:43,10,0/8,0.0,22/51,43.14,37.29,21/57,36.84,1/2,50.0,11/24,45.83,10,0,41,28,20,12,4,1,35,0,0,36
20,"Garing, JC",UST,G,3.5,3.9,1.3,0.9,0.1,1.0,1.8,0.8,-3.8,6.4,34.70%,16.00%,50.00%,15.43,JC Garing,13,12261,15:43:09,2,5/26,19.23,13/25,52.0,35.29,14/46,30.43,4/5,80.0,6/10,60.0,9,0,32,22,15,11,1,0,21,0,0,21
20,"Garing, JC",UST,G,3.5,3.9,1.3,0.9,0.1,1.0,1.8,0.8,-3.8,6.4,34.70%,16.00%,50.00%,15.43,JC Garing,13,12261,15:43:09,2,5/26,19.23,13/25,52.0,35.29,14/46,30.43,4/5,80.0,6/10,60.0,9,0,32,22,15,11,1,0,21,0,0,21
1,"Calimag, Richi",UST,G,3.5,2.9,0.8,0.3,0.1,1.0,1.4,0.5,-5.4,4.0,30.00%,27.00%,55.60%,14.33,Richi Calimag,13,11359,14:33:46,3,10/37,27.03,5/13,38.46,30.0,13/47,27.66,2/3,66.67,5/9,55.56,10,0,24,14,10,4,1,2,15,1,0,18
1,"Calimag, Richi",UST,G,3.5,2.9,0.8,0.3,0.1,1.0,1.4,0.5,-5.4,4.0,30.00%,27.00%,55.60%,14.33,Richi Calimag,13,11359,14:33:46,3,10/37,27.03,5/13,38.46,30.0,13/47,27.66,2/3,66.67,5/9,55.56,10,0,24,14,10,4,1,2,15,1,0,18
12,"Mantua, Royce",UST,F,3.0,2.2,0.6,0.2,0.1,1.2,1.5,0.8,-5.5,2.5,25.50%,24.00%,58.30%,10.32,Royce Mantua,12,7592,10:32:40,4,6/24,25.0,7/25,28.0,26.53,12/47,25.53,1/2,50.0,7/12,58.33,17,0,17,11,7,3,1,1,17,0,0,18
12,"Mantua, Royce",UST,F,3.0,2.2,0.6,0.2,0.1,1.2,1.5,0.8,-5.5,2.5,25.50%,24.00%,58.30%,10.32,Royce Mantua,12,7592,10:32:40,4,6/24,25.0,7/25,28.0,26.53,12/47,25.53,1/2,50.0,7/12,58.33,17,0,17,11,7,3,1,1,17,0,0,18
11,"Laure, Eddie",UST,F,2.0,1.9,0.7,0.2,0.1,0.8,0.7,0.3,-1.3,3.7,57.10%,50.00%,50.00%,7.47,Eddie Laure,9,4210,7:47:47,0,1/2,50.0,7/12,58.33,57.14,7/13,53.85,1/1,100.0,1/2,50.0,7,0,14,3,6,2,1,0,6,0,0,6
11,"Laure, Eddie",UST,F,2.0,1.9,0.7,0.2,0.1,0.8,0.7,0.3,-1.3,3.7,57.10%,50.00%,50.00%,7.47,Eddie Laure,9,4210,7:47:47,0,1/2,50.0,7/12,58.33,57.14,7/13,53.85,1/1,100.0,1/2,50.0,7,0,14,3,6,2,1,0,6,0,0,6
15,"Duremdes, Kenji",UST,G,1.9,2.5,0.8,0.2,0.0,0.6,0.7,0.7,-4.4,3.5,25.80%,14.30%,63.60%,10.21,Kenji Duremdes,13,8074,10:21:05,2,2/14,14.29,6/17,35.29,25.81,7/30,23.33,1/1,100.0,7/11,63.64,5,0,23,9,11,3,0,0,9,0,0,9
15,"Duremdes, Kenji",UST,G,1.9,2.5,0.8,0.2,0.0,0.6,0.7,0.7,-4.4,3.5,25.80%,14.30%,63.60%,10.21,Kenji Duremdes,13,8074,10:21:05,2,2/14,14.29,6/17,35.29,25.81,7/30,23.33,1/1,100.0,7/11,63.64,5,0,23,9,11,3,0,0,9,0,0,9
7,"Magdangal, Kylle",UST,G,1.5,1.0,0.5,0.5,0.0,0.8,0.8,0.0,-1.0,0.8,27.30%,0.00%,0.00%,5.59,Kylle Magdangal,5,1799,5:59:48,0,0/4,0.0,3/8,37.5,25.0,3/11,27.27,0/1,0.0,0/0,0.0,2,0,4,1,2,2,0,0,3,0,0,3
7,"Magdangal, Kylle",UST,G,1.5,1.0,0.5,0.5,0.0,0.8,0.8,0.0,-1.0,0.8,27.30%,0.00%,0.00%,5.59,Kylle Magdangal,5,1799,5:59:48,0,0/4,0.0,3/8,37.5,25.0,3/11,27.27,0/1,0.0,0/0,0.0,2,0,4,1,2,2,0,0,3,0,0,3
18,"Escubido, Vince",UST,,1.0,0.9,0.5,0.3,0.0,0.5,0.3,0.3,-4.5,1.8,44.40%,0.00%,0.00%,5.58,Vince Escubido,8,2865,5:58:08,0,0/2,0.0,4/7,57.14,44.44,2/7,28.57,2/2,100.0,0/0,0.0,4,0,6,1,4,2,0,0,2,0,0,2
18,"Escubido, Vince",UST,,1.0,0.9,0.5,0.3,0.0,0.5,0.3,0.3,-4.5,1.8,44.40%,0.00%,0.00%,5.58,Vince Escubido,8,2865,5:58:08,0,0/2,0.0,4/7,57.14,44.44,2/7,28.57,2/2,100.0,0/0,0.0,4,0,6,1,4,2,0,0,2,0,0,2
5,"Herrera, Ian",UST,C,0.4,0.4,0.0,0.1,0.0,0.1,0.7,0.4,-2.1,0.2,0.00%,0.00%,83.30%,3.42,Ian Herrera,11,2450,3:42:44,0,0/5,0.0,0/6,0.0,0.0,0/11,0.0,0/0,0.0,5/6,83.33,3,0,2,3,0,1,0,0,7,0,0,7
5,"Herrera, Ian",UST,C,0.4,0.4,0.0,0.1,0.0,0.1,0.7,0.4,-2.1,0.2,0.00%,0.00%,83.30%,3.42,Ian Herrera,11,2450,3:42:44,0,0/5,0.0,0/6,0.0,0.0,0/11,0.0,0/0,0.0,5/6,83.33,3,0,2,3,0,1,0,0,7,0,0,7
24,"Gesalam, Ralf",UST,G,0.0,0.6,0.1,0.0,0.1,0.1,0.3,0.3,-1.7,-0.1,0.00%,0.00%,0.00%,4.53,Ralf Gesalam,7,2056,4:53:43,0,0/8,0.0,0/0,0.0,0.0,0/8,0.0,0/0,0.0,0/0,0.0,0,0,4,0,1,0,1,0,2,0,0,2
24,"Gesalam, Ralf",UST,G,0.0,0.6,0.1,0.0,0.1,0.1,0.3,0.3,-1.7,-0.1,0.00%,0.00%,0.00%,4.53,Ralf Gesalam,7,2056,4:53:43,0,0/8,0.0,0/0,0.0,0.0,0/8,0.0,0/0,0.0,0/0,0.0,0,0,4,0,1,0,1,0,2,0,0,2
7,"Winston, Schonny",DLSU,G,14.9,4.3,2.5,2.1,0.1,2.4,1.3,2.9,4.6,16.4,42.90%,32.30%,79.50%,22.4,Schonny Winston,10,13606,22:40:36,7,10/31,32.26,44/95,46.32,42.86,50/121,41.32,4/5,80.0,31/39,79.49,27,0,28,15,25,21,1,3,10,0,0,13
10,"Nelle, Evan",DLSU,G,12.0,4.8,6.0,1.7,0.6,2.8,1.9,2.6,2.5,17.6,34.10%,27.80%,96.30%,28.06,Evan Nelle,11,18555,28:06:49,5,16/60,26.67,26/53,49.06,37.17,33/103,32.04,9/10,90.0,22/23,95.65,25,5,40,14,65,19,6,0,16,0,3,19
17,"Quiambao, Kevin",DLSU,F,11.2,6.5,3.2,1.1,0.4,3.1,1.0,2.0,-3.2,12.4,34.40%,19.10%,71.40%,25.26,Kevin Quiambao,13,19840,25:26:09,2,9/47,19.15,47/116,40.52,34.36,49/152,32.24,7/11,63.64,25/35,71.43,20,5,61,24,42,14,5,1,10,2,0,13
25,"Phillips, Michael",DLSU,C,9.4,10.3,1.7,1.9,1.6,1.9,2.0,4.1,3.5,21.3,47.40%,0.00%,55.00%,25.17,Michael Phillips,10,15176,25:17:36,6,0/1,0.0,36/75,48.0,47.37,33/73,45.21,3/3,100.0,22/40,55.0,17,3,67,36,17,19,16,1,18,0,1,20
16,"Austria, Cyrus",DLSU,F,8.5,3.9,2.2,1.2,0.1,1.6,1.5,2.6,0.9,11.3,42.90%,28.00%,54.90%,23.25,Cyrus Austria,13,18275,23:25:46,13,7/24,29.17,32/68,47.06,42.39,34/86,39.53,5/6,83.33,23/45,51.11,16,2,31,19,27,16,1,2,16,1,1,20
24,"Nonoy, Mark",DLSU,G,7.6,2.5,2.7,2.3,0.0,1.6,1.8,1.4,1.2,7.4,25.20%,25.30%,77.80%,19.43,Mark Nonoy,11,13021,19:43:44,7,15/66,22.73,9/36,25.0,23.53,18/90,20.0,6/12,50.0,13/16,81.25,15,0,23,4,31,26,0,0,17,0,0,17
9,"Cortez, Raven",DLSU,C,5.2,3.0,0.3,0.5,1.3,0.4,0.4,1.3,-0.7,9.4,56.50%,0.00%,90.90%,10.58,Raven Cortez,11,7244,10:58:33,0,0/2,0.0,22/40,55.0,52.38,18/38,47.37,4/4,100.0,8/9,88.89,13,0,14,14,4,5,12,0,4,0,0,4
11,"Estacio, Penny",DLSU,G,4.8,1.6,1.7,0.7,0.0,1.3,0.9,1.1,-2.1,5.8,39.70%,37.10%,75.00%,16.36,Penny Estacio,12,11955,16:36:15,7,13/34,38.24,10/22,45.45,41.07,18/49,36.73,5/7,71.43,3/4,75.0,13,0,15,4,20,9,0,0,11,0,0,11
42,"Phillips, Benjamin",DLSU,C,4.6,3.6,1.0,0.4,0.3,0.6,1.6,0.9,4.1,7.4,41.00%,34.50%,55.60%,14.17,Benjamin Phillips,13,11146,14:17:23,12,7/22,31.82,14/31,45.16,39.62,20/49,40.82,1/4,25.0,5/9,55.56,14,0,28,20,13,6,3,3,17,0,1,21
22,"Nwankwo, Bright",DLSU,C,3.9,5.4,0.5,0.5,0.8,0.5,2.3,1.6,-0.1,9.9,45.70%,0.00%,64.00%,15.19,Bright Nwankwo,14,12873,15:19:30,8,0/0,0.0,21/46,45.65,45.65,19/43,44.19,2/3,66.67,16/25,64.0,10,0,41,37,7,8,12,1,31,0,0,32
12,"Abadam, Earl",DLSU,F,3.9,2.2,0.8,0.4,0.1,0.8,1.5,0.9,-2.2,4.1,33.30%,10.00%,68.40%,14.23,Earl Abadam,13,11222,14:23:14,1,0/8,0.0,19/48,39.58,33.93,17/53,32.08,2/3,66.67,13/19,68.42,8,0,23,8,11,4,1,0,20,0,0,20
